id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
nanogramPerGramPerHour,nanogramPerGramPerHour,,nanogram/gram/hour,gramPerGramPerSecond,, 0.000000277778,ng/g,massPerMassRate
cubicCentimetersPerCubicCentimeters,cubicCentimetersPerCubicCentimeters,meterCubedPerMeterCubed,centimeter^3/centimeter^3,,,1,,volumePerVolume
meterCubedPerMeterCubed,meterCubedPerMeterCubed,,meter^3/meter^3,meterCubedPerMeterCubed,,1,m³/m³,volumePerVolume
literPerLiter,literPerLiter,,liter/liter,meterCubedPerMeterCubed,,1,l/l,volumePerVolume
milliliterPerLiter,milliliterPerLiter,,milliliter/liter,meterCubedPerMeterCubed,,0.001,ml/l,volumePerVolume
microliterPerLiter,microliterPerLiter,,microliter/liter,meterCubedPerMeterCubed,,0.000001,μl/l,volumePerVolume
nanoliterPerLiter,nanoliterPerLiter,,nanoliter/liter,meterCubedPerMeterCubed,,0.000000001,nl/l,volumePerVolume
molePerMole,molePerMole,,mole/mole,molePerMole,,1,mol/mol,
millimolePerMole,millimolePerMole,,millimole/mole,molePerMole,,.001,mmol/mol,
micromolePerMole,micromolePerMole,,micromole/mole,molePerMole,,.000001,μmol/mol,
nanomolePerMole,nanomolePerMole,,nanomole/mole,molePerMole,,.000000001,nmol/mol,
molePerKilogram,molePerKilogram,,mole/kilogram,molePerKilogram,,1,mol/kg,
millimolePerKilogram,millimolePerKilogram,,millimole/kilogram,molePerKilogram,,0.001,mmol/kg,
micromolePerKilogram,micromolePerKilogram,,micromole/kilogram,molePerKilogram,,0.000001,µmol/kg,
nanomolePerKilogram,nanomolePerKilogram,,nanomole/kilogram,molePerKilogram,,0.000000001,nmol/kg,
percent,percent,,percent,dimensionless,,1,%,dimensionless
permil,permil,,percent,dimensionless,,1,o/oo,dimensionless
wattPerMeterSquared,wattPerMeterSquared,,watt/meter^2,wattPerMeterSquared,,1,W/m²,
kilowattPerMeterSquared,kilowattPerMeterSquared,,kilowatt/meter^2,wattPerMeterSquared,,1000,kW/m²,
wattPerMeterSquaredPerSteradian,wattPerMeterSquaredPerSteradian,,watt/meter^2/steradian,wattPerMeterSquaredPerSteradian,,1,W/m²/sr,
microwattPerCentimeterSquaredPerSteradian,microwattPerCentimeterSquaredPerSteradian,,microwatt/centimeter^2/steradian,wattPerMeterSquaredPerSteradian,,0.0000001,µW/cm²/sr,
wattPerMeterSquaredPerNanometer,wattPerMeterSquaredPerNanometer,,watt/meter^2/nm,wattPerMeterSquaredPerMeter,,0.000000001,W/m²/nm,
microwattPerCentimeterSquaredPerNanometer,microwattPerCentimeterSquaredPerNanometer,,microwatt/centimeter^2/nm,wattPerMeterSquaredPerMeter,,0.0000001,µW/cm²/nm,
wattPerMeterSquaredPerNanometerPerSteradian,wattPerMeterSquaredPerNanometerPerSteradian,,watt/meter^2/nm/steradian,wattPerMeterSquaredPerMeterPerSteradian,,0.000000001,W/m²/nm/sr,
microwattPerCentimeterSquaredPerNanometerPerSteradian,microwattPerCentimeterSquaredPerNanometerPerSteradian,,microwatt/centimeter^2/nm/steradian,wattPerMeterSquaredPerMeterPerSteradian,,0.0000001,µW/cm²/nm/sr,
molePerMeterSquaredPerSecond,molePerMeterSquaredPerSecond,,mole/meter^2/second,molePerMeterSquaredPerSecond,,1,mol/m²/s,
micromolePerMeterSquaredPerSecond,micromolePerMeterSquaredPerSecond,,micromole/meter^2/second,molePerMeterSquaredPerSecond,,0.000001,µmol/m²/s,
micromolePerCentimeterSquaredPerSecond,micromolePerCentimeterSquaredPerSecond,,micromole/centimeter^2/second,molePerMeterSquaredPerSecond,,0.01,µmol/cm²/s,
megajoulePerMeterSquaredPerDay,megajoulePerMeterSquaredPerDay,,megajoule/m^2/day,joulePerMeterSquaredPerSecond,0,11.5741,MJ/m2/day,arealEnergyDensityRate
langleyPerDay,langleyPerDay,,langley/day,joulePerMeterSquaredPerSecond,0,0.484259,Ly/day,arealEnergyDensityRate
